岗位名称,工作地点,岗位薪资,经验要求,学历要求,岗位标签,企业名称,企业行业,企业规模,融资状况
AI大模型算法工程师,深圳-南山区,25-50k·15薪,经验不限,硕士,"语言模型,深度学习,PyTorch,深度学习框架",跨维智能,人工智能,100-499人,A轮
大模型算法工程师,深圳-南山区,30-60k·15薪,3-5年,学历不限,"算法开发,算法设计,算法优化,Python,Java,C++,PyTorch",某深圳大型互联网公司,互联网,2000-5000人,融资未公开
人工智能算法工程师-大模型,深圳-南山区,15-30k,3-5年,本科,"自然语言处理,语言模型",重庆长安工业(集团)有限责任公司深圳分公司,电气机械/器材,100-499人,Unknown
自然语言算法高级工程师,深圳-南山区,35-65k·15薪,3-5年,硕士,"语言模型,自然语言处理,PyTorch",顺丰科技,互联网,2000-5000人,Unknown
AI产品经理,深圳-南山区,10-12k,1-3年,本科,"策略产品,AI人工智能产品,to B",软通动力,互联网,10000人以上,Unknown
高级AI应用工程师,深圳,30-50k,3-5年,硕士,"Python,算法研究,OpenCV,TensorFlow",思迪信息,计算机软件,500-999人,B轮
多模态算法专家,深圳-南山区,40-80k,经验不限,本科,Unknown,字节跳动,互联网,10000人以上,其他
中级算法工程师,深圳-南山区,30-40k,1-3年,硕士,"自然语言处理,语言模型,深度学习,深度学习框架",环球数科集团有限公司,专业技术服务,50-99人,战略投资
资深AI算法工程师（视觉多模态方向）,深圳-南山区,20-40k·18薪,5-10年,本科,Unknown,招联金融,互联网,100-499人,Unknown
【AI专项】搜索后端工程师-飞书 招,深圳-南山区,35-50k·13薪,3-5年,统招本科,"框架设计,框架开发",字节跳动,互联网,10000人以上,其他
【AI专项】搜索后端工程师,深圳-南山区,35-50k·13薪,3-5年,统招本科,Unknown,字节跳动,互联网,10000人以上,其他
高级自然语言处理工程师,深圳-南山区,35-45k·14薪,5-10年,硕士,"自然语言处理,语言模型,强化学习,Q-learning,知识图谱",深圳数联天下智能科技有限公司,云计算/大数据,500-999人,Unknown
AI算法工程师,深圳-罗湖区,20-30k·13薪,3-5年,统招本科,"算法设计,C++,Python,深度学习,定位算法",深圳市科荣软件股份有限公司,计算机软件,100-499人,融资未公开
高级AI算法研发工程师,深圳-坪山区,20-50k,3-5年,硕士,"激光雷达,深度学习,算法研究,TensorFlow,PyTorch",BYD,电子/半导体/集成电路,10000人以上,已上市
多模态算法工程师(大模型应用),深圳-南山区,23-24k·14薪,3-5年,硕士,"语言模型,TensorFlow,PyTorch",元象唯思,计算机软件,100-499人,A轮
高级算法工程师,深圳-宝安区,20-50k,经验不限,本科,"机器人 自动驾驶,深度学习,机器视觉,自然语言处理",沥拓科技(深圳)有限公司,智能硬件,50-99人,Unknown
算法工程师,深圳-南山区,20-30k·14薪,1-3年,硕士,"深度学习,深度学习框架",腾讯,互联网,10000人以上,港股上市
资深后端开发工程师（AI项目）,深圳-南山区,20-35k·14薪,5-10年,统招本科,后端开发,SHEIN,互联网,5000-10000人,Unknown
NLP算法工程师,深圳-光明区,12-25k,3-5年,统招本科,"算法设计,机器翻译,Python,C++,GPT,自然语言生成",康佳集团,通信设备,10000人以上,沪深A股上市
算法1084504,深圳,30-40k,经验不限,学历不限,Unknown,同道猎聘集团,互联网,2000-5000人,港股上市
高级算法工程师（大模型）,深圳-南山区,45-70k·16薪,5-10年,统招本科,"自然语言处理,深度学习,算法研究,算法开发,算法设计",深圳乐信软件技术有限公司,科技金融,2000-5000人,Unknown
算法部署工程师,深圳-福田区,20-40k,3-5年,统招本科,算法开发,沿海海算科技(深圳)有限公司,人工智能,50-99人,Unknown
搜索算法研究员（大模型方向）(北京/深圳）,深圳-南山区,30-50k·16薪,1-3年,硕士,"语言模型,GPT,大模型,预训练",腾讯,互联网,10000人以上,港股上市
多模态算法专家/架构师/负责人,深圳,50-80k·18薪,3-5年,硕士,"算法设计,算法研究,多模态",某知名公司,专业技术服务,10000人以上,Unknown
NLP算法工程师,深圳-南山区,25-45k,1-3年,硕士,"NLP,文档检索,文档理解",万翼科技,互联网,500-999人,Unknown
大模型与无人系统融合方向科研人员,深圳-南山区,35-60k,经验不限,博士,Unknown,鹏城实验室,学术/科研,1000-2000人,Unknown
NLP算法工程师,深圳-南山区,25-50k,3-5年,硕士,"NLP,文档检索,文档理解,算法设计",万翼科技,互联网,500-999人,Unknown
AI产品经理（远程居家办公）,深圳-南山区,20-35k·16薪,经验不限,学历不限,AI产品,北京必来屋网络科技有限公司,互联网,100-499人,Unknown
AI产品经理,深圳-南山区,20-40k·15薪,3-5年,本科,"AI人工智能产品,策略产品,人工智能,产品规划",字节跳动,互联网,10000人以上,其他
AI架构师,深圳,30-40k,5-10年,统招本科,"技术支持,架构设计,系统设计,Kubernetes",中海地产,房地产开发经营,5000-10000人,Unknown
软件测试开发工程师-智能产品测试,深圳,20-40k·13薪,2年以上,统招本科,测试开发,vivo,互联网,5000-10000人,Unknown
NLP算法工程师(J10450),深圳-福田区,30-50k,3-5年,硕士,"算法研究,算法开发,深度学习,语言模型,TensorFlow,PyTorch,深度学习框架",粤港澳大湾区数字经济研究院(福田),人工智能,100-499人,Unknown
数据科学工程师（AI方向）,深圳-福田区,25-45k,3-5年,学历不限,Unknown,某国内大型整车制造公司,整车制造,10000人以上,融资未公开
AI专家,深圳-南山区,90-120k,3-5年,硕士,语言模型,明心数智,科技金融,100-499人,A轮
高级AI产品专家/leader,深圳,100-130k·15薪,10年以上,统招本科,"AI人工智能产品,对话产品,中台产品",北京知名互联网公司,互联网/电商,10000人以上,D轮及以上
数据科学工程师（AI方向 ）,深圳,25-50k·13薪,3-5年,统招本科,"汽车领域,大模型训练",某国内整车制造公司,整车制造,Unknown,Unknown
数据科学AI,深圳,30-60k,3-5年,统招本科,Unknown,某国内大型汽车公司,整车制造,5000-10000人,融资未公开
AI算法专家（外企）,深圳-南山区,50-70k·13薪,8年以上,本科,"自然语言处理,机器学习,预测算法,智能客服,问答系统",某深圳大型电子/半导体/集成电路公司,电子/半导体/集成电路,10000人以上,Unknown
数据科学工程师（AI方向）,深圳,12-20k·15薪,5年以上,本科,Unknown,某国内知名整车制造公司,整车制造,5000-10000人,D轮及以上
AI应用框架专家,深圳,60-80k·16薪,5-10年,统招本科,"Java,Kotlin,小程序,快应用,AI agent",某国内知名公司,人工智能,500-999人,融资未公开
资深AI产品经理-飞书智能伙伴创建平台,深圳-南山区,50-80k·15薪,5-10年,本科,"策略产品,工具产品,用户研究,产品设计,产品优化,团队管理",字节跳动,互联网,10000人以上,其他
多模态算法（某知名大模型公司）,深圳,70-100k·15薪,5-10年,硕士,"多模态,算法,Vision,Python,C++,LLM,Audio",某知名人工智能公司,人工智能,500-999人,D轮及以上
CTO(AI和大数据）,深圳-宝安区,45-65k,10年以上,本科,"技术战略,技术支持,架构设计,系统设计,Doris,数据建模,ClickHouse,MySQL",博纳德集团,计算机软件,500-999人,Unknown
多模态大模型算法工程师,深圳,20-30k,经验不限,硕士,"优化算法,算法优化,深度学习",某大型知名计算机硬件公司,计算机硬件,1000-2000人,D轮及以上
数据科学工程师 AI方向,深圳,27-35k·13薪,经验不限,统招本科,Unknown,某国内大型整车制造公司,整车制造,10000人以上,融资未公开
数据科学工程师（AI方向 ）,深圳,21-30k,3-5年,统招本科,Unknown,某国内大型整车制造公司,整车制造,5000-10000人,融资未公开
资深算法工程师,深圳-福田区,20-40k,3-5年,本科,"语言模型,深度学习,深度学习框架",犀照科技,互联网,50-99人,Unknown
大模型算法,深圳,45-75k·14薪,1-3年,统招本科,"大模型,LLM,多模态",某知名车联网公司,计算机软件,100-499人,A轮
高级NLP算法工程师,深圳-南山区,20-25k,3-5年,统招本科,"算法开发,模型训练,数据处理语言,NLP,CV,BERT,transform,Python,自然语言生成",中科创达软件股份有限公司,计算机软件,10000人以上,沪深A股上市
"Principal Engineer, NT&I (AI/ML)",深圳-南山区,50-60k·13薪,3-5年,博士,Unknown,哈曼中国,电子/半导体/集成电路,500-999人,Unknown
算法工程师,深圳-南山区,15-19k,3-5年,统招本科,"C++,相机图像质量设计,AWB调试,画质设计,算法开发,PyTorch,NLP",德科信息,互联网,5000-10000人,战略投资
语言模型算法专家-国企直招-稳定不卷-急,深圳-南山区,30-60k·18薪,5-10年,硕士,"GPT,语言模型,LLM,大语言模型,多摸态,Python",某世界500强通信设备公司,通信设备,10000人以上,已上市
数据科学工程师（AI方向）,深圳,40-70k·14薪,5-10年,统招本科,Unknown,某国内大型整车制造公司,整车制造,10000人以上,战略融资
大模型算法工程师,深圳-福田区,35-55k,3-5年,统招本科,"语言模型,深度学习",某深圳通信设备公司,通信设备,Unknown,Unknown
NLP算法研究员(J10451),深圳-福田区,50-65k,5-10年,硕士,"自然语言处理,深度学习,语言模型,PyTorch",粤港澳大湾区数字经济研究院(福田),人工智能,100-499人,Unknown
AI算法工程师,深圳,30-60k·14薪,5-10年,统招本科,Unknown,某国内大型整车制造公司,整车制造,10000人以上,融资未公开
国企 数据科学工程师 Ai方向,深圳-福田区,40-50k,经验不限,学历不限,Unknown,某国内大型整车制造公司,整车制造,10000人以上,融资未公开
AI产品负责人,深圳-南山区,50-80k·15薪,5-10年,统招本科,"AI人工智能产品,数据产品,人工智能,用户研究,产品规划,团队管理",某深圳大型云计算/大数据公司,云计算/大数据,2000-5000人,A轮
头条策略产品经理-AI方向,深圳-南山区,20-35k·15薪,经验不限,本科,"AI人工智能产品,人工智能,产品优化,市场调研,产品规划,用户研究,产品设计,需求分析,竞品分析",字节跳动,互联网,10000人以上,其他
大模型算法专家（知名上市互联网公司）,深圳,70-100k·15薪,5-10年,学历不限,"LLM,算法设计,算法研究,算法开发,大模型,Python,NLP,C++,Java",某知名人工智能公司,人工智能,500-999人,D轮及以上
AI产品经理,深圳,20-40k,3-5年,本科,"人工智能,对话产品,原型设计,产品规划,产品设计,平台产品,AI人工智能产品,需求分析",金蝶,互联网,5000-10000人,已上市
数据科学工程师主管（AI方向 ）,深圳,26-40k·15薪,3年以上,本科,Unknown,某国内大型整车制造公司,整车制造,5000-10000人,融资未公开
AI科学工程师-大模型、统筹优化、机器学习方向,深圳,26-45k,3-5年,硕士,"深度学习,自然语言处理,深度学习框架,Python",某国内新能源上市公司,新能源,10000人以上,已上市
AI编译器开发工程师 (MJ000168),深圳-南山区,薪资面议,5-10年,硕士,Unknown,墨芯人工智能科技(深圳)有限公司,电子/半导体/集成电路,50-99人,Unknown
AI工程师- NLP大模型调测工程师(深圳/广州）,深圳,18-35k,经验不限,统招本科,"知识图谱,深度学习,深度学习框架",某北京大型互联网公司,互联网,10000人以上,A轮
自然语言处理(NLP),深圳-南山区,20-35k,3-5年,硕士,"Python,C++,算法研究,自然语言生成,问答系统,文字蕴含,TensorFlow,PyTorch,情感识别,信息检索",某北京大型互联网公司,互联网,2000-5000人,融资未公开
大模型算法应用工程师-大模型应用-飞书,深圳-南山区,30-50k·15薪,3-5年,本科,Unknown,字节跳动,互联网,10000人以上,其他
机器视觉算法工程师,深圳,95-120k·13薪,3-5年,硕士,Unknown,某知名公司,专业技术服务,1-49人,Unknown
AI产品经理,深圳-南山区,20-40k,5-10年,统招本科,"策略产品,搜索产品,医疗行业,to G,医院,产品设计,产品规划,团队管理,需求调研,市场调研",智慧医学,互联网,100-499人,B轮
数据科学工程师（AI方向）,深圳,30-50k·15薪,3-5年,统招本科,Unknown,某国内大型整车制造公司,整车制造,10000人以上,融资未公开
大模型算法工程师-大模型应用-飞书,深圳-南山区,30-50k·15薪,3-5年,本科,Unknown,字节跳动,互联网,10000人以上,其他
大模型算法工程师,深圳,40-60k,3-5年,本科,"语言模型,深度学习",某深圳大型通信设备公司,通信设备,2000-5000人,融资未公开
大模型-前端开发工程师,深圳-南山区,20-40k·15薪,3-5年,统招本科,"前端开发,Javascript",商汤科技SenseTime,计算机软件,2000-5000人,港股上市
RAG算法工程师,深圳,40-70k·16薪,5-10年,统招本科,"PyTorch,TensorFlow,算法开发,语言模型,算法设计,算法研究,算法优化,自然语言处理,Python,Java",华为,通信设备,10000人以上,Unknown
AI编译器开发工程师 (MJ000168),深圳-南山区,薪资面议,5-10年,统招本科,Unknown,墨芯人工智能科技(深圳)有限公司,电子/半导体/集成电路,50-99人,Unknown
AI产品负责人,深圳-南山区,50-80k·14薪,5-10年,统招本科,"AI人工智能产品,人工智能,产品规划,用户研究,团队管理",某深圳大型云计算/大数据公司,云计算/大数据,2000-5000人,A轮
多模态大模型算法工程师,深圳-宝安区,40-70k·16薪,3-5年,硕士,"优化算法,算法优化,深度学习",某深圳大型计算机硬件公司,计算机硬件,1000-2000人,D轮及以上
高级NLP算法工程师,深圳-福田区,22-45k,3-5年,本科,"语言模型,TensorFlow,算法开发,自然语言生成,问答系统,词法分析,NeuroLab",犀照科技,互联网,50-99人,Unknown
语音算法负责人,深圳,60-90k·15薪,5年以上,本科,"算法开发,信号处理,算法设计,算法优化,优化算法,自然语言处理,Python",某知名公司,智能硬件,10000人以上,C轮
高级人工智能工程师（LLM应用）_VM,苏州-工业园区,薪资面议,5-10年,本科,"LLM,大语言模型,提示工程师",博世汽车部件(苏州)有限公司,汽车零部件及配件,5000-10000人,Unknown
大模型算法专家,苏州-吴中区,30-60k,3-5年,硕士,"LLM,VLM,CV,大模型,多模态,pytorch,tensorfo,具身智能",科沃斯机器人股份有限公司,互联网,2000-5000人,已上市
大模型应用工程师-NLP方向,苏州-吴中区,15-25k·15薪,3-5年,本科,Unknown,追觅科技,家电,2000-5000人,C轮
前端高级研发-全球AI大模型独角兽,苏州,25-45k·16薪,5-10年,统招本科,"HTML,CSS,Javascript,React,Angular,Vue",某知名公司,互联网,1-49人,Unknown
后端高级研发-全球AI大模型独角兽,苏州,25-45k·16薪,5-10年,统招本科,"Golang,Java,Python,后端开发",某知名公司,互联网,1-49人,Unknown
后端开发工程师（AI应用）,苏州-吴中区,20-30k·15薪,5-10年,本科,Unknown,汇川技术,工业自动化,10000人以上,沪深A股上市
算法工程师,苏州-昆山,25-50k,5-10年,本科,"深度学习,算法开发,语言模型,深度学习框架",和君纵达,咨询服务,10000人以上,B轮
大模型评测工程师,苏州-工业园区,20-25k·14薪,经验不限,统招本科,"Java,Python,人工智能领域,算法测试",patsnap,互联网,500-999人,D轮
NLP工程师,苏州-虎丘区,25-40k·16薪,1-3年,统招本科,"语言模型,自然语言处理,深度学习,情感识别,Keras,PyTorch,TensorFlow,深度学习框架",RIGOL,仪器仪表,500-999人,Unknown
算法实习生,苏州-昆山,12-20k,经验不限,本科,"PyTorch,Python,TensorFlow",和君纵达,咨询服务,10000人以上,B轮
AI 架构师,苏州-工业园区,20-28k·13薪,5-10年,本科,"算法设计,技术支持",聚思鸿,专业技术服务,5000-10000人,战略投资
人工智能专家,苏州,20-40k,5-10年,本科,Unknown,博世中国,人工智能,10000人以上,Unknown
资深算法工程师,苏州-工业园区,20-35k·15薪,3-5年,硕士,"自然语言处理,深度学习,机器视觉,PyTorch,TensorFlow",企查查,电子商务,500-999人,D轮
资深算法工程师（NLP）,苏州-工业园区,20-50k·15薪,5-10年,本科,"NLP,LLM",企查查,电子商务,500-999人,D轮
大模型算法工程师,苏州-吴中区,20-40k·14薪,3-5年,硕士,"图像分析,PyTorch",科沃斯机器人股份有限公司,互联网,2000-5000人,已上市
NLP大模型算法研究领军人物（稳定平台）,苏州-工业园区,100-150k·14薪,5-10年,硕士,"算法研究,问答系统,TensorFlow,PyTorch",某知名公司,机械/设备,50-99人,Unknown
自然语言处理(NLP),苏州,30-60k·14薪,3-5年,硕士,nlp,某国内工业自动化公司,工业自动化,Unknown,Unknown
NLP大模型算法工程师,苏州-工业园区,40-60k·14薪,10年以上,硕士,"自然语言处理,深度学习,数据处理,算法优化,优化算法,算法研究",优理奇机器人(苏州)有限公司,,Unknown,Unknown
预训练模型NLP专家,苏州-工业园区,25-40k·14薪,3-5年,硕士,"自然语言处理,信息抽取,信息检索,深度学习,GPT,BERT,文本分类,Python",patsnap,互联网,500-999人,D轮
AI技术方案专家（研发）,苏州,40-45k,5-10年,本科,深度学习,某苏州大型在线教育公司,在线教育,500-999人,D轮及以上
深度学习推理/大模型推理工程师,苏州-工业园区,20-40k·16薪,3-5年,硕士,深度学习,海光信息,其他行业,1000-2000人,Unknown
算法工程师,苏州,45-50k,3-5年,本科,Unknown,某苏州电子商务公司,电子商务,50-99人,Unknown
AI 技术方案专家（研发）,苏州-虎丘区,30-45k,5-10年,本科,深度学习,云学堂信息科技(江苏)有限公司,云计算/大数据,1000-2000人,D轮
AI 技术方案专家（研发）,苏州,30-45k·14薪,5-10年,本科,深度学习,某北京大型云计算/大数据公司,云计算/大数据,1000-2000人,D轮及以上
ai技术方案专家,苏州-工业园区,35-40k·13薪,5年以上,统招本科,深度学习,某苏州大型云计算/大数据公司,云计算/大数据,1000-2000人,D轮及以上
AI技术方案专家（研发）,苏州,35-40k,5-10年,统招本科,深度学习,某北京大型云计算/大数据公司,云计算/大数据,1000-2000人,D轮及以上
NLP算法工程师,苏州,20-40k·14薪,3-5年,硕士,"语音识别,机器翻译,文本分类,自然语言处理,深度学习",某苏州计算机软件公司,计算机软件,100-499人,Unknown
大模型数据工程师,苏州-昆山,30-60k,1-3年,本科,"语言模型,数据处理",某北京人力资源服务公司,人力资源服务,100-499人,A轮
自然语言处理(NLP),苏州-工业园区,30-50k·14薪,5-10年,硕士,"自然语言处理,深度学习,算法研究,数据处理,优化算法,算法优化",某知名公司,机械/设备,50-99人,Unknown
NLP算法工程师,苏州,40-70k·16薪,3-5年,硕士,"自然语言生成,文本分类",某深圳互联网上市公司,互联网,10000人以上,已上市
大模型数据工程师,苏州-虎丘区,25-50k,3-5年,硕士,"数据处理,模型训练,Python,Java,Linux,大语言模型",某苏州大型云计算/大数据公司,云计算/大数据,2000-5000人,融资未公开
NLP算法工程师,苏州-工业园区,25-50k,3-5年,硕士,"自然语言处理,深度学习,数据处理,优化算法,算法优化,算法研究",优理奇机器人(苏州)有限公司,,Unknown,Unknown
自然语言处理(NLP),苏州-吴江区,30-50k,经验不限,硕士,"自然语言生成,C++,Python",某苏州大型仪器仪表公司,仪器仪表,500-999人,融资未公开
NLP算法工程师,苏州,40-70k·14薪,3-5年,硕士,"自然语言处理,深度学习,数据处理,算法优化,优化算法,算法研究",某国内机械/设备公司,工业自动化,Unknown,Unknown
NLP大模型算法工程师,苏州,40-60k·15薪,5-10年,硕士,PyTorch,某知名公司,工业自动化,Unknown,Unknown
NLP算法专家,苏州-工业园区,40-60k·16薪,经验不限,博士,"NLP,生成任务",patsnap,互联网,500-999人,D轮
AI技术方案专家（研发）,苏州-虎丘区,40-50k,5-10年,本科,深度学习,云学堂信息科技(江苏)有限公司,云计算/大数据,1000-2000人,D轮
自然语言处理技术研究,苏州-工业园区,20-30k·13薪,1-3年,硕士,"自然语言处理,算法研究,语言模型,算法开发,Python",中国科学院空天信息创新研究院,计算机软件,2000-5000人,Unknown
NLP大模型算法专家（服务机器人）,苏州-工业园区,50-80k·15薪,5-10年,硕士,Unknown,阿格亚汽车科技(苏州)有限公司,机械/设备,50-99人,Unknown
NLP算法工程师,苏州,20-40k·13薪,1-3年,统招本科,"文本分类,自然语言处理,知识图谱,深度学习,深度学习框架",苏州海管家物流科技有限公司,互联网,100-499人,B轮
预训练模型NLP专家(J11873),苏州-工业园区,30-45k·15薪,3-5年,硕士,"文本分类,推荐算法",patsnap,互联网,500-999人,D轮
预训练模型NLP专家,苏州-工业园区,30-60k,3-5年,硕士,Unknown,苏州德宜溪谷智能科技有限公司,人工智能,50-99人,Unknown
NLP(J17247),苏州-吴中区,20-40k·15薪,3-5年,硕士,"文本分类,情感识别,自然语言处理",追觅科技,家电,2000-5000人,C轮
LLM大模型算法工程师,南京-雨花台区,18-35k·14薪,1-3年,硕士,"语言模型,深度学习,优化算法,算法优化,强化学习,Q-learning,深度学习框架",升智信息科技(南京)有限公司,计算机软件,50-99人,Unknown
LLM应用开发工程师,南京-江宁区,12-15k,经验不限,硕士,"PyTorch,Python,TensorFlow,算法研究,算法识别,算法优化,算法设计,算法开发,搜索算法,强化学习",上海之几信息科技有限公司,计算机软件,50-99人,Unknown
大语言模型开发工程师,南京-江宁区,18-25k·14薪,3-5年,统招本科,"后端开发,Python",某知名公司,互联网,500-999人,融资未公开
大语言模型技术专家,南京-浦口区,15-30k,3-5年,硕士,"算法研究,算法识别,Python,自然语言生成,PyTorch,TensorFlow,自然语言处理,语言模型",杭州培慕科技有限公司,石化,1-49人,战略投资
大语言模型算法专家 (MJ015682),南京-雨花台区,40-60k·16薪,5-10年,统招本科,Unknown,北京星网锐捷网络技术有限公司,计算机硬件,5000-10000人,沪深A股上市
AI算法工程师,南京,29-35k,1-3年,硕士,语言模型,某南京人工智能公司,人工智能,1-49人,Unknown
行业大模型算法工程师,南京,14-30k·14薪,经验不限,硕士,"语言模型,算法开发,深度学习,深度学习框架",亚信科技,通信设备,10000人以上,港股上市
大模型算法工程师,南京,50-80k·16薪,5-10年,硕士,"语言模型,算法开发,深度学习,深度学习框架",某知名IT服务公司,IT服务,500-999人,战略融资
通信网络大模型资深算法工程师,南京,20-50k·15薪,5-10年,硕士,"语言模型,算法开发,深度学习,深度学习框架",亚信科技,通信设备,10000人以上,港股上市
AI算法工程师,南京-栖霞区,26-40k,1-3年,硕士,"算法研究,算法开发,Python,SQL,深度学习,机器视觉,自然语言处理,大数据算法,Sklearn,PyTorch",瑞声光电,电子/半导体/集成电路,10000人以上,Unknown
大模型算法工程师,南京-建邺区,11-30k,3-5年,本科,"语言模型,算法开发,深度学习,深度学习框架",中盈,IT服务,500-999人,Unknown
大模型算法工程师,南京-雨花台区,15-40k·13薪,经验不限,硕士,"语言模型,算法开发,深度学习,深度学习框架",亚信科技,通信设备,10000人以上,港股上市
大模型算法,南京,20-40k,经验不限,硕士,"语言模型,算法开发,深度学习,深度学习框架",亚信科技,通信设备,10000人以上,港股上市
大模型算法开发,南京,25-35k·13薪,3-5年,本科,"语言模型,算法开发,深度学习,深度学习框架",亚信科技,通信设备,10000人以上,港股上市
高级人工智能工程师,南京-建邺区,40-70k·16薪,5-10年,硕士,"语言模型,算法优化,优化算法",OPPO,通信设备,10000人以上,Unknown
自然语言处理算法工程师,南京-江宁区,15-30k·14薪,经验不限,硕士,"语言模型,算法优化,优化算法,深度学习,深度学习框架",中科南京人工智能创新研究院,人工智能,100-499人,Unknown
算法工程师,南京-雨花台区,10-20k,1-3年,统招本科,"算法识别,模式识别",江苏新视云,互联网,500-999人,融资未公开
大模型算法工程师,南京-江宁区,25-40k,1-3年,硕士,"Agent,RAG,Lora,Ptuning",T3出行,互联网,100-499人,Unknown
AI大模型专家（国企）,南京,30-60k·16薪,5-10年,硕士,"大模型,LLM,模型训练,大模型微调,大模型行业应用,语音算法,图像算法,多模态算法,机器学习,深度学习",某互联网公司,互联网,1000-2000人,Unknown
AI大模型,南京,20-40k·16薪,3-5年,统招本科,"深度学习,深度学习框架",某知名公司,互联网,1000-2000人,Unknown
大模型训练推理框架研发工程师,南京-雨花台区,20-30k,3-5年,本科,"Python,系统开发,Java,Dataflow,Flink,Spring Boot,C++,Hadoop",满帮集团,互联网,5000-10000人,美股上市
AI与云平台产品资深专家,南京,30-60k·15薪,5-10年,博士,"调度策略产品,平台产品,云计算",亚信科技,通信设备,10000人以上,港股上市
AI软件开发工程师,南京-雨花台区,26-50k,3-5年,本科,"Python,C++,PyTorch,大语言模型",上海达恩鼎源科技有限公司,计算机软件,1-49人,战略投资
NLP算法工程师,南京-雨花台区,20-25k,1-3年,硕士,"知识图谱,语言模型,自然语言处理",诚迈科技,计算机软件,2000-5000人,创业板上市
算法工程师,南京,30-50k,3-5年,本科,"PyTorch,TensorFlow,Rust,Python,AI",某南京制药公司,制药,100-499人,Unknown
NLP算法高级工程师,南京,25-35k·13薪,3-5年,本科,"自然语言处理,BERT,深度学习,文本分类,PyTorch,TensorFlow",图灵人工智能研究院,云计算/大数据,100-499人,天使轮
自然语言处理（NLP）,南京,20-40k·14薪,3-5年,硕士,"语言模型,深度学习,深度学习框架",某杭州互联网上市公司,互联网,10000人以上,已上市
大模型算法工程师,南京-江宁区,13-25k,3-5年,统招本科,深度学习,杭州十域科技有限公司,互联网,50-99人,B轮
语言大模型应用工程师,南京-江宁区,15-30k,1-3年,统招本科,"数据采集,数据开发",南京埃斯顿,工业自动化,500-999人,沪深A股上市
智能客服算法工程师（TK生成/回复） (MJ010409),南京-雨花台区,40-60k,3-5年,本科,"语言模型,强化学习,Q-learning,深度学习,自然语言处理,算法研究,Keras,深度学习框架",SHEIN,互联网,5000-10000人,Unknown
AI人工智能技术总监,南京,70-100k,5-10年,博士,"技术支持,架构设计,Java",南京通达海科技股份有限公司,计算机软件,1000-2000人,创业板上市
算法工程师,南京,20-35k·13薪,5-10年,统招本科,"自然语言处理,算法研究",南京通达海科技股份有限公司,计算机软件,1000-2000人,创业板上市
算法工程师,南京-鼓楼区,20-21k,3-5年,本科,"算法开发,Python,Java,自然语言处理,PyTorch,TensorFlow",南京通达海科技股份有限公司,计算机软件,1000-2000人,创业板上市
算法高级工程师-NLP,南京-雨花台区,20-50k,3-5年,硕士,"LSTM,CNN,BERT,GPT,自然语言处理,PyTorch",满帮集团,互联网,5000-10000人,美股上市
NLP算法工程师（大模型）,南京-雨花台区,20-40k,1-3年,硕士,"LLM,大模型,信息抽取,意图识别,Prompt",满帮集团,互联网,5000-10000人,美股上市
高级NLP算法工程师,南京-雨花台区,25-50k,3-5年,硕士,"自然语言处理,深度学习,CNN,知识图谱,深度学习框架",满帮集团,互联网,5000-10000人,美股上市
项目经理【Ai人工智能方向】,南京-秦淮区,40-50k,5-10年,本科,Unknown,北京迪尼菲康信息咨询有限公司,咨询服务,1000-2000人,Unknown
高级算法工程师,南京-雨花台区,25-40k,5-10年,统招本科,"深度学习,自然语言处理,LLM,AIGC,分类算法,回归算法,定价分析,推荐算法,机器学习,优化算法",众能联合数字技术有限公司,互联网,2000-5000人,D轮
AI实施交付,南京-雨花台区,10-15k·13薪,1-3年,统招本科,"智能机器人,项目管理师",北京天润融通科技股份有限公司,云计算/大数据,500-999人,Unknown
大模型算法工程师,南京-建邺区,45-65k·15薪,3-5年,统招本科,"Python,PyTorch,Prompt Engineeri,NLP,大模型的预训练,大模型agent应用框架,agent、rag",某深圳大型通信设备公司,通信设备,10000人以上,战略融资
自然语言处理(NLP),南京-雨花台区,20-35k,3-5年,学历不限,"知识图谱,深度学习,深度学习框架",某南京计算机软件公司,计算机软件,1-49人,Unknown
大模型算法（出差）,南京,11-27k·13薪,3-5年,本科,"语言模型,深度学习",亚信科技,通信设备,10000人以上,港股上市
RAG算法工程师,南京,40-70k·16薪,5-10年,统招本科,"PyTorch,TensorFlow,算法开发,语言模型,算法设计,算法研究,算法优化,自然语言处理,Python,Java",华为,通信设备,10000人以上,Unknown
AI高级架构师,南京,50-70k,3-5年,硕士,技术支持,某上海大型IT服务公司,IT服务,500-999人,战略融资
AI大模型方案经理,南京-江宁区,15-25k·13薪,3-5年,本科,"大模型,AI",深圳力维智联技术有限公司,人工智能,500-999人,战略投资
NLP大模型调测工程师,南京,20-35k,经验不限,本科,"知识图谱,深度学习,深度学习框架",某大型IT服务公司,IT服务,10000人以上,融资未公开
AI算法工程师,南京-江宁区,20-40k·15薪,5-10年,本科,自然语言处理,汇川技术,工业自动化,10000人以上,沪深A股上市
资深算法工程师,南京-雨花台区,25-40k,5-10年,统招本科,"大模型,LLM,自然语言处理",众能联合数字技术有限公司,互联网,2000-5000人,D轮
AI-NLP算法工程师,南京,25-30k·13薪,5-10年,统招本科,"Python,算法开发,算法优化,C++,自然语言生成,PyTorch,TensorFlow",某南京计算机软件公司,计算机软件,1-49人,Unknown
